name,categories,city,state,postalCode,latitude,longitude
Dairy Queen,Fast Food Restaurants,Bettendorf,IA,52722,41.548648,-90.504798
McDonald's,Fast Food Restaurant,Charlotte,NC,28273,35.16361,-80.96889
Burger King,Fast Food Restaurant,Hesperia,CA,92344,34.425812,-117.378018
Burger King,Fast food restaurants,Hesperia,CA,92345,34.419638,-117.291579
Del Taco,Fast Food Restaurant,Hawthorne,CA,90250,33.899881,-118.36165700000001
Del Taco,Fast Food Restaurant,Granada Hills,CA,91344,34.264517,-118.52678200000001
Arby's,Fast Food Restaurant,Dover,DE,19904,39.158375,-75.550267
Arby's,Fast Food Restaurants,Dover,DE,19904,39.158375,-75.550267
McDonald's,Fast Food Restaurants,Fountain Inn,SC,29644,34.685340000000004,-82.19726999999999
Burger King,Fast Food Restaurant,Lebanon,PA,17042,40.33873,-76.447826
Chipotle Mexican Grill,Fast Food Restaurants,Lebanon,PA,17042,40.31787,-76.42396
Taco Bell,Fast Food Restaurants,Claymont,DE,19703,39.81718,-75.45715
Pizza Hut,Fast Food,Chandler,AZ,85226,33.30628,-111.94408999999999
McDonald's,Fast Food Restaurants,Plover,WI,54467,44.49541,-89.51668000000001
Arby's,"Restaurant, Fast Food Restaurant, and Sandwich Place",Aurora,CO,80012,39.697205,-104.82432299999999
Primo's Pizza,Fast Food Restaurants,Energy,IL,62933,37.777429999999995,-89.02603
Simple Simon's Pizza,Fast Food Restaurants,Pea Ridge,AR,72751,36.441759999999995,-94.114426
Arby's,Fast Food Restaurants,Clarksville,TN,37040,36.594351,-87.287425
Dairy Queen,Fast Food Restaurants,Alliance,OH,44601,40.901990000000005,-81.12966
CASA Mexicana,Fast Food Restaurants,Bryant,AR,72022,34.623000000000005,-92.50348000000001
Burger King,Fast Food Restaurant,Bryant,AR,72022,34.623419,-92.499052
Burger King,Fast Food Restaurants,Flagstaff,AZ,86004,35.192109,-111.624197
Arby's,Fast Food Restaurants,Brookings,SD,57006,44.31095,-96.77414
Arby's,"Fast Food Restaurant, Sandwich Place, and American Restaurant",Brookings,SD,57006,44.31095,-96.77414
KFC,Fast Food,Apache Junction,AZ,85120,33.415079999999996,-111.57883999999999
Burger King,Fast Food Restaurants,Bluefield,WV,24701,37.28415,-81.25128000000001
Bob Evans,Fast Food Restaurants,Beckley,WV,25801,37.793559,-81.217557
Pizza Hut,Fast Food Restaurants,Beckley,WV,25801,37.790326,-81.21054699999999
Players Grill,Fast Food Restaurants,Highland Park,IL,60035,42.17114472,-87.82489848
Burger King,Fast Food Restaurants,Buckhannon,WV,26201,38.997749,-80.233242
Arby's,Fast Food,Cody,WY,82414,44.516059999999996,-109.08971000000001
Burger King,Fast Food Restaurant,Cody,WY,82414,44.514590000000005,-109.05084
Pizza Hut,Fast Food Restaurants,Cheyenne,WY,82009,41.16767,-104.828636
Back Yard Burgers,Fast Food Restaurants,Collierville,TN,38017,35.0492,-89.69906999999999
Arby's,Fast Food Restaurants,Collierville,TN,38017,35.045609999999996,-89.6942
Arby's,Fast Food Restaurants,Casper,WY,82604,42.82804,-106.354802
Arby's,Fast Food Restaurants,Cordova,TN,38016,35.175914,-89.792333
SUBWAY,Fast Food Restaurants,Mobridge,SD,57601,45.53751,-100.43688
Arby's,Fast Food,Defiance,OH,43512,41.303027,-84.36127900000001
Pizza Hut,Fast Food Restaurants,Defiance,OH,43512,41.301426,-84.36081800000001
Pizza Hut,Fast Food Restaurants,Fairborn,OH,45324,39.783394,-84.006478
Arby's,Fast Food,Aberdeen,SD,57401,45.459587,-98.469823
McDonald's,Fast Food Restaurant,Blountville,TN,37617,36.524041,-82.31270699999999
McDonald's,Fast food restaurants,Blountville,TN,37617,36.534114,-82.39005300000001
Arby's,Fast Food Restaurant,Blountville,TN,37617,36.541865,-82.33235
Arby's,Fast Food,Blountville,TN,37617,36.541865,-82.33235
Burger King,Fast Food Restaurants,Berea,KY,40403,37.568606,-84.31104599999999
Italo's Pizza,Fast Food Restaurants,East Liverpool,OH,43920,40.66428,-80.62040999999999
Dairy Queen,Ice Cream Shop and Fast Food Restaurant,East Liverpool,OH,43920,40.62539,-80.59109000000001
Hunan Gardens,Fast Food Restaurants,Lima,OH,45804,40.73101,-84.07296
Burger King,Fast Food Restaurant,Circleville,OH,43113,39.58426871,-82.95390414
Burger King,Fast food restaurants,Chardon,OH,44024,41.580901000000004,-81.21016800000001
Burger King,Fast Food Restaurant,Bellefontaine,OH,43311,40.331939,-83.761451
Burger King,Fast Food Restaurants,Broadview Heights,OH,44147,41.29553,-81.67674
Burger King,Fast Food Restaurant,Broadview Heights,OH,44147,41.293022,-81.68467
Toppers Pizza,Fast Food Restaurants,Chippewa Falls,WI,54729,44.92456,-91.38189
Hernandez Mexican Restaurant,Fast Food Restaurants,Delavan,WI,53115,42.63089,-88.63918000000001
Culver's,Fast Food Restaurant,Delavan,WI,53115,42.627712,-88.621712
Burger King,Fast food restaurants,Christiansburg,VA,24073,37.16537,-80.422283
Arby's,Fast Food Restaurant,Christiansburg,VA,24073,37.166086,-80.422225
Burger King,Fast Food Restaurant,Christiansburg,VA,24073,37.16537,-80.422283
Burger King,Fast food restaurants,Farmville,VA,23901,37.289041,-78.397491
Glorious Foods Gourmet to go & Catering,Fast Food Restaurants,Charlottesville,VA,22903,38.041290000000004,-78.47775
Little Caesars Pizza,Fast Food Restaurants,Gresham,OR,97030,45.50516,-122.41273000000001
Arby's,Fast Food Restaurants,El Paso,TX,79924,31.88498,-106.41861200000001
Pizza Hut,Fast Food Restaurants,Wharton,TX,77488,29.331020000000002,-96.09456999999999
Burger King,Fast Food Restaurants,Denison,TX,75020,33.762134,-96.581587
McDonald's,Fast Food Restaurants,Penitas,TX,78576,26.243395,-98.4423
Burger King,Fast Food Restaurant,Eagle Pass,TX,78852,28.705740000000002,-100.48395
Chick-Fil-A,Fast Food Restaurants,Del Rio,TX,78840,29.38843,-100.90521
Burger King,Fast Food Restaurant,Bryan,TX,77803,30.69488984,-96.36236943
Schlotzsky's,Fast Food Restaurants,Cleburne,TX,76033,32.342149,-97.402765
Arby's,"Restaurant, Fast Food Restaurant, and Sandwich Place",Burleson,TX,76028,32.563248,-97.322393
Chick-Fil-A,Fast Food Restaurant,Burleson,TX,76028,32.566362,-97.319315
Burger King,Fast Food Restaurant and Burger Joint,Bellaire,TX,77401,29.70529415,-95.4730184
Arby's,Fast Food Restaurant,Abilene,TX,79606,32.405234,-99.764985
Golden Chick,American Restaurant and Fast Food Restaurant,Beeville,TX,78102,28.421414000000002,-97.756843
Dairy Queen,Fast Food Restaurants,Pettus,TX,78146,28.847140999999997,-97.44154
Pizza Hut,Fast Food Restaurants,Sinton,TX,78387,28.03704,-97.51219
Chicken Express,Fast Food Restaurants,Angleton,TX,77515,29.18105,-95.44666
McDonald's,Fast Food Restaurant and Playground,Flourtown,PA,19031,40.111177000000005,-75.21414399999999
Arby's,Fast Food,Chestertown,MD,21620,39.224652,-76.06993
Arby's,Fast Food Restaurant,Chestertown,MD,21620,39.224652,-76.06993
Big House Burgers,Fast food restaurants,Alice,TX,78332,27.753659999999996,-98.06130999999999
Arby's,Fast Food,Orlando,FL,32809,28.440040000000003,-81.4037
McDonald's,Fast food restaurants,Columbia,MD,21045,39.196115999999996,-76.82101
Burger King,Fast Food Restaurant,Elkridge,MD,21075,39.208926,-76.724769
Arby's,Fast Food,Fairless Hills,PA,19030,40.169035,-74.849233
Arby's,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Fairless Hills,PA,19030,40.169035,-74.849233
Arby's,Fast Food Restaurants,Ephrata,PA,17522,40.164651,-76.154297
Pizza Hut,Fast Food Restaurants,Ottumwa,IA,52501,41.01903,-92.43745
Arby's,Fast Food,Abingdon,VA,24210,36.705143,-81.974501
Arby's,Fast Food Restaurants,Abingdon,VA,24210,36.705143,-81.974501
Jerry's Subs & Pizza,"Sandwich Place, Pizza Place, and Fast Food Restaurant",Alexandria,VA,22306,38.78022,-77.07939
Jerry's Subs & Pizza,Fast Food Restaurants,Alexandria,VA,22306,38.78022,-77.07939
Fox's Pizza Den,Fast Food Restaurants,Ebensburg,PA,15931,40.48025,-78.73658
Burger King,Fast Food Restaurants,Ebensburg,PA,15931,40.47425,-78.74575
Arby's,Fast Food Restaurant,Erie,PA,16509,42.092031,-80.084087
Arby's,"American Restaurant, Fast Food Restaurant, and Sandwich Place",Erie,PA,16504,42.108354999999996,-80.050799
Burger King,Fast Food Restaurant,Florence,KY,41042,39.019712,-84.628729
Burger King,Fast Food Restaurant and Burger Joint,Coopersburg,PA,18036,40.509285999999996,-75.385827
Pizza Pub,Fast Food Restaurants,Clarion,PA,16214,41.20821,-79.36712
Grande Italian Restaurant,Fast Food Restaurants,Canonsburg,PA,15317,40.26269,-80.13373
Pizza Hut,Fast Food Restaurants,Canonsburg,PA,15317,40.28079,-80.08363
Burger King,Fast Food Restaurants,Berwick,PA,18603,41.049741,-76.252443
Pizza Hut,Fast Food Restaurants,Bethel Park,PA,15102,40.34341,-80.02729000000001
Burger King,Fast Food Restaurant,Frankfort,KY,40601,38.178962,-84.89459599999999
Pizza Hut,Fast Food,Seattle,WA,98103,47.69445,-122.34243000000001
Arni's Crawfordsville,Fast Food,Crawfordsville,IN,47933,40.0396,-86.9026
Arby's,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Crawfordsville,IN,47933,40.021575,-86.90334399999999
Pizza Hut,Fast Food Restaurants,Milwaukee,WI,53220,42.97331,-88.00820999999999
Arctic Circle,Fast Food Restaurants,Layton,UT,84041,41.07553,-111.95069
Pizza Hut,Fast Food Restaurants,Goshen,IN,46526,41.591667,-85.855147
Arby's,Fast Food Restaurants,Gaffney,SC,29341,35.077732,-81.70352700000001
Burger King,Fast Food Restaurants,Elko,NV,89801,40.83757,-115.78953999999999
Pizza Barn,Fast Food Restaurants,Elko,NV,89801,40.85103,-115.74498
McDonald's,Fast food restaurants,Coram,NY,11727,40.869655,-72.99981700000001
Jerry's Subs & Pizza,Fast Food Restaurants,Laurel,MD,20707,39.095464,-76.837806
Burger King,Fast Food Restaurant,Brookhaven,MS,39601,31.579563,-90.459029
Rico's Pizza & Subs,Fast Food Restaurants,Corning,NY,14830,42.1439,-77.0583
B's Pizza,Fast Food Restaurants,Corning,NY,14830,42.13151,-77.03608
Burger King,Fast food restaurants,Amityville,NY,11701,40.689896000000005,-73.408119
McDonald's,Fast Food Restaurant,Pickens,SC,29671,34.884512,-82.70476
McDonald's,Fast Food,Spartanburg,SC,29303,34.966901,-81.929552
Burger King,Fast Food Restaurant and Burger Joint,Gambrills,MD,21054,39.037925,-76.678372
McDonald's,Fast Food Restaurant,Red Springs,NC,28377,34.811406,-79.174756
Domino's Pizza,Fast Food Restaurants,Glen Cove,NY,11542,40.8672,-73.6307
Dairy Queen,Ice Cream Shop and Fast Food Restaurant,Van,TX,75790,32.499851,-95.596225
Dairy Queen,Fast Food Restaurants,Van,TX,75790,32.499851,-95.596225
Dairy Queen,Fast Food Restaurants,Tivoli,TX,77990,28.453428999999996,-96.888108
Dairy Queen,Fast Food,Rusk,TX,75785,31.802884000000002,-95.148673
Dairy Queen,Fast Food Restaurants,Borger,TX,79007,35.663865,-101.389964
Dairy Queen,Fast Food Restaurant,San Marcos,TX,78666,29.689434000000002,-97.667085
Dairy Queen,Fast Food Restaurant,San Antonio,TX,78205,29.423059999999996,-98.484173
Dairy Queen,Ice Cream Shop and Fast Food Restaurant,San Antonio,TX,78223,29.351346000000003,-98.458339
Hardee's,Fast Food Restaurants,Virginia Beach,VA,23454,36.875281,-76.038915
Hardee's,Fast Food Restaurants,Norfolk,VA,23517,36.869021000000004,-76.291956
